iter	Logloss
0	0.6706055067
1	0.6516793521
2	0.6343366971
3	0.6177426246
4	0.6027122065
5	0.5892674919
6	0.5763640621
7	0.5642017657
8	0.5540949703
9	0.545304482
10	0.5367725572
11	0.5281563251
12	0.5218171628
13	0.5158042876
14	0.5101626385
15	0.5041950346
16	0.4996918457
17	0.4957248016
18	0.4919534185
19	0.4878724707
20	0.4838887279
21	0.4807511353
22	0.4774683845
23	0.4741591294
24	0.4714869673
25	0.4686954087
26	0.4661786341
27	0.4641028268
28	0.4621523562
29	0.4596406472
30	0.4574081367
31	0.4553287897
32	0.4534611039
33	0.4514421501
34	0.4499665392
35	0.4480203781
36	0.446658776
37	0.4451960867
38	0.4437791433
39	0.44102402
40	0.4399374834
41	0.4386647081
42	0.4374092554
43	0.4356868159
44	0.4344357201
45	0.4331784263
46	0.4320316761
47	0.4309508729
48	0.429720297
49	0.4287072413
50	0.427872792
51	0.4268150347
52	0.4257951029
53	0.4244810438
54	0.4236240335
55	0.4206752597
56	0.4198172662
57	0.4171451989
58	0.4160283334
59	0.4151694956
60	0.4146647071
61	0.4138956421
62	0.4130240183
63	0.4122779415
64	0.4113314093
65	0.4107700115
66	0.4084587002
67	0.4074679207
68	0.4067914868
69	0.4060045228
70	0.4050554375
71	0.4040945868
72	0.4035375832
73	0.4026355153
74	0.4020704081
75	0.4005623153
76	0.3996981102
77	0.3989893266
78	0.3983281435
79	0.3974626533
80	0.3957333615
81	0.395231021
82	0.394547121
83	0.3938308373
84	0.3932319395
85	0.3926369544
86	0.3919584556
87	0.391262797
88	0.3905699017
89	0.3900305834
90	0.3893597642
91	0.388804405
92	0.3880117347
93	0.3875676379
94	0.3863806684
95	0.3857596334
96	0.3850620557
97	0.3845552091
98	0.3839397516
99	0.3831466167
100	0.3826520441
101	0.3822192346
102	0.3816842767
103	0.3812780765
104	0.3807815171
105	0.3802141891
106	0.3795655546
107	0.379041138
108	0.3783184732
109	0.3779671364
110	0.3775019534
111	0.3771734692
112	0.3765242142
113	0.3758984493
114	0.375335841
115	0.3748137673
116	0.3742156697
117	0.37356791
118	0.3730744681
119	0.3724765739
120	0.3720613802
121	0.3712413105
122	0.3707571521
123	0.3703830762
124	0.3694617819
125	0.3689049037
126	0.3683941105
127	0.3677385016
128	0.3674246698
129	0.3669655272
130	0.3663724697
131	0.365715852
132	0.3648580314
133	0.3641336171
134	0.3635570989
135	0.3633277116
136	0.3627421286
137	0.3621865982
138	0.3618357173
139	0.361100899
140	0.3605866321
141	0.3602449296
142	0.3597228017
143	0.3592448515
144	0.3587371725
145	0.3581951875
146	0.357897578
147	0.3575910631
148	0.3569449411
149	0.3564685929
150	0.3559253822
151	0.3554897857
152	0.3551060787
153	0.3546738202
